document,chunk,text,question
automind:-enterprise-grade-ai-assistants-done-right,0,"Introducing Automind: Enterprise-Grade AI Assistants Done RightWhile creating autonomous AI agents may seem straightforward, deploying them in enterprise environments raises significant challenges around security, reliability, scalability, usability, and integration.",What are some challenges of deploying autonomous AI agents in enterprise environments?
automind:-enterprise-grade-ai-assistants-done-right,1,"Simply combining off-the-shelf ingredients like language models and retrieval tools is akin to a home cook attempting a Michelin-starred meal - disastrous results are likely.We recognized that building truly robust, enterprise-grade AI assistants requires deep expertise spanning AI, systems infrastructure, security, and software engineering.",Why is it challenging to create high-quality AI assistants just by using readily available components?
automind:-enterprise-grade-ai-assistants-done-right,2,"Our Automind platform is founded on sophisticated technical insights that integrate classic computer science with modern large language models.Informed by decades of experience at companies like Microsoft and Meta, the Automind platform prioritizes enterprise requirements like security, reliability, and scalability.",What kind of experience does the team behind the Automind platform have?
automind:-enterprise-grade-ai-assistants-done-right,3,"Our AI agents run as concurrent, fault-tolerant actors with persistent memory and hot-swappable models.",What are some features of the AI agents described?
automind:-enterprise-grade-ai-assistants-done-right,4,"Dynamic guardrails and access controls ensure data privacy and safe model behavior.State-of-the-art AI components like intelligent routing, semantic indexing, and local re-ranking produce accurate, trustworthy results.",How do dynamic guardrails and access controls contribute to data privacy and safe model behavior?
automind:-enterprise-grade-ai-assistants-done-right,5,Infinite memory lets users refer back to past conversations.,What feature allows users to look back at previous chats?
automind:-enterprise-grade-ai-assistants-done-right,6,"Careful lineage tracking enables citation, auditing, and compliance.A no-code workflow instruction paradigm allows anyone to train custom assistants through simple annotations, without programming.",How does the no-code workflow instruction paradigm help in training custom assistants?
automind:-enterprise-grade-ai-assistants-done-right,7,These assistants can then generalize to solve new problems.,What is the purpose of these assistants?
automind:-enterprise-grade-ai-assistants-done-right,8,"Leveraging techniques from compilers, Automind can even automatically fine-tune and deploy custom models per enterprise, team, or individual.In this talk, we introduce Automind and share the key insights that transformed a seemingly simple task into a formidable technical challenge - and how we overcame it.",What can Automind do to customize models for different users?
automind:-enterprise-grade-ai-assistants-done-right,9,"""It is unbecoming for accomplished individuals to expend valuable time on tasks that could be efficiently handled by machines or delegated to others.",Why should accomplished individuals avoid spending too much time on tasks that could be handled by machines or delegated to others?
automind:-enterprise-grade-ai-assistants-done-right,10,"""Gottfried Wilhelm Leibniz (1646-1716)",Who was a notable philosopher and mathematician from the 17th century?
a-passwordless-future!-passkeys-for-developers,0,Weak passwords remain one of the major causes of breaches and security incidents.,Why do weak passwords contribute to security breaches?
a-passwordless-future!-passkeys-for-developers,1,The Web Authentication standard provides a robust framework for passwordless authentication using passkeys.,What does the Web Authentication standard help with?
a-passwordless-future!-passkeys-for-developers,2,Passkeys are the latest revolution in authentication.,What are passkeys used for?
a-passwordless-future!-passkeys-for-developers,3,You may have used it with Google or GitHub.,What popular services or platforms might people have used for version control or web searches?
a-passwordless-future!-passkeys-for-developers,4,But what exactly is it and how does it work?,What is it and how does it function?
a-passwordless-future!-passkeys-for-developers,5,You will learn all about it in this talk.,What information will be covered in the talk?
a-passwordless-future!-passkeys-for-developers,6,"We will dive into the core concepts of passkeys, their architecture, and their pros and cons.","What are the main ideas behind passkeys, their structure, and their advantages and disadvantages?"
a-passwordless-future!-passkeys-for-developers,7,We will see how Passkey leverages public key cryptography and biometrics/hardware authenticators to offer enhanced security and usability while eliminating the vulnerabilities associated with traditional password-based systems.We will explore how developers can leverage WebAuthn libraries to implement passkeys in their apps.,How does Passkey utilize public key cryptography and biometrics to enhance security?
a-passwordless-future!-passkeys-for-developers,8,We will also learn to use passkeys with external Identity providers.,How do we use passkeys with external Identity providers?
a-passwordless-future!-passkeys-for-developers,9,"There will be demos, showing step-by-step integration of passkeys into web applications.",What will the demos demonstrate in relation to web applications?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,0,"Two years before ChatGPT was launched, NN Group tested OpenAI’s model for the Dutch language.",When was OpenAI's model for the Dutch language tested by NN Group in relation to the launch of ChatGPT?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,1,"The experiment was successful, and OpenAI asked NN Group to test other AI models, including ChatGPT.",What did OpenAI request NN Group to do after the initial experiment was successful?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,2,The team spent 1.5 years experimenting with ChatGPT to ensure the safe use of the technology without giving away company data.,How long did the team spend testing ChatGPT to ensure it was used safely without risking company data?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,3,"Now, NN Group is one of the first companies in Europe to apply ChatGPT technology on a large scale in production for Automated Call Logging.",What is one of the first companies in Europe to widely use ChatGPT technology for Automated Call Logging?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,4,"Learn about how they applied ChatGPT, got the business on board, and the challenges they faced.",How did they manage to integrate ChatGPT into their business operations and what obstacles did they encounter?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,5,Get inspired to learn more about the potential of AI in business.,How can AI potentially benefit businesses?
observability:-a-catalyst-for-sustainable-engineering,0,We all acknowledge the immense effort required to combat climate change.,What actions are being taken to address climate change?
observability:-a-catalyst-for-sustainable-engineering,1,"With the rapid advancement of technology, our ecological footprint has skyrocketed.",How has the growth of technology impacted our environmental footprint?
observability:-a-catalyst-for-sustainable-engineering,2,It is time for a change.,Why is now the right time to make a change?
observability:-a-catalyst-for-sustainable-engineering,3,However the the ongoing dialogue on this matter has many of us getting weary.,Why are people becoming tired of the continuous discussions on this issue?
observability:-a-catalyst-for-sustainable-engineering,4,This does not mean the subject is any less import and urgent.But what can we do as engineers?,What actions can engineers take to address the urgent and important subject?
observability:-a-catalyst-for-sustainable-engineering,5,How do we transform our landscape for sustainability?,How can we reshape our environment to achieve sustainability?
observability:-a-catalyst-for-sustainable-engineering,6,"The obvious answer seems to be ""go to the cloud"" and ""go serverless"".",What are some common solutions for managing computing resources efficiently?
observability:-a-catalyst-for-sustainable-engineering,7,But is that enough?,Is what mentioned sufficient?
observability:-a-catalyst-for-sustainable-engineering,8,And can that always be done?,Is it possible to achieve that consistently?
observability:-a-catalyst-for-sustainable-engineering,9,"In this session we go beyond the obvious and delve into the engineer's role in leveraging observability to benefit humanity and the planet.Leaving this session you will have practical tools where to start, what to look out for and your first steps for a more sustainable future.Because you can only change what you can observe.",How does the engineer's role in leveraging observability contribute to a more sustainable future?
getting-smart-with-kvk’s-synthetic-data,0,Join us for an enlightening session where Waseem Sadiq delves into the innovative use of synthetic data at the KvK (Chamber of Commerce).,What will Waseem Sadiq discuss regarding synthetic data at the KvK event?
getting-smart-with-kvk’s-synthetic-data,1,This presentation will explore the fascinating intersection of data privacy and open government data—fields often seen at odds.,How do data privacy concerns interact with the principles of open government data?
getting-smart-with-kvk’s-synthetic-data,2,"Discover how synthetic data serves as a revolutionary solution, providing privacy-compliant data that retains the authenticity necessary for robust data analysis and integration.",How does synthetic data help maintain privacy while ensuring data authenticity for analysis?
getting-smart-with-kvk’s-synthetic-data,3,"Learn about the KvK’s current projects and future plans to make this synthetic data publicly available, enabling the market to leverage it for diverse use cases.",What are the future goals regarding making synthetic data publicly accessible for market use?
getting-smart-with-kvk’s-synthetic-data,4,Don't miss this opportunity to see how synthetic data is shaping the future of data privacy and open data initiatives!,How is synthetic data influencing the future of data privacy and open data initiatives?
lessons-learned-from-building-a-generative-ai-playground,0,"Generative AI, there are those who talk about it and those who build with it.",What is the difference between people who talk about generative AI and those who build with it?
lessons-learned-from-building-a-generative-ai-playground,1,"In this session, I share the lessons learned from building the [.NET FM Playground](https://github.com/build-on-aws/dotnet-fm-playground).",What is this session about?
lessons-learned-from-building-a-generative-ai-playground,2,This project has started as a way to educate myself on this broad and new domain.,Why was the project initiated?
lessons-learned-from-building-a-generative-ai-playground,3,No better way for me to learn than getting my hands dirty.,What method does the speaker prefer for learning?
lessons-learned-from-building-a-generative-ai-playground,4,"During the session, you get a hands-on, developer oriented understanding on how to use Generative AI in your application.",What will participants learn about during the session?
lessons-learned-from-building-a-generative-ai-playground,5,"You won't hear about training large language models (LLMs), I'm no ML expert.We walk through the different playgrounds to understand a few key concepts.",What are some key concepts you can learn about by exploring different playgrounds for large language models?
lessons-learned-from-building-a-generative-ai-playground,6,The Text playground helps us to make our first steps with LLMs and do a bit of prompt engineering.,What can assist us in taking initial steps with large language models and experimenting with prompt engineering?
lessons-learned-from-building-a-generative-ai-playground,7,The Chat playground surfaces why and how you can memorize your conversation.,What purpose does memorizing your conversation in the Chat playground serve?
lessons-learned-from-building-a-generative-ai-playground,8,The Voice Chat playground showcases how you can mix and match different AI technologies to deliver voice-based interactions.,What does the Voice Chat playground demonstrate regarding AI technologies?
lessons-learned-from-building-a-generative-ai-playground,9,"The Agent playground illustrates how you can use Retrieval Augmented Generation pattern to overcome LLMs knowledge limitation and how you can make them accomplish complex tasks.When you walk out from this talk, I hope you go build your first Generative AI enabled app.",What is the purpose of the Agent playground in relation to Generative AI?
from-r&d-to-machine-learning-products,0,"In the keynote ""From R&D to ML Products,"" we explore Picnic's journey in scaling machine learning within our organization, from initial research and development to deploying full-scale ML products.","What is discussed in the keynote ""From R&D to ML Products""?"
from-r&d-to-machine-learning-products,1,"This talk delves into the challenges faced, the tech stack that enabled our growth, and key learnings acquired along the way.",What were the main challenges encountered during the growth process?
from-r&d-to-machine-learning-products,2,"Emphasizing the transition from experimental projects to impactful applications, we discuss the importance of aligning ML initiatives with business goals, fostering innovation, and the crucial role of cross-functional collaboration.",Why is it important for machine learning projects to be aligned with business objectives?
from-r&d-to-machine-learning-products,3,"Through our experiences, we offer insights and strategies for organizations looking to navigate the complex yet rewarding path of integrating ML technologies into their operations effectively.",What do you provide to help organizations integrate ML technologies into their operations?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,0,Ever thought about building your very own question-answering system?,Have you ever considered creating your own question-answering system?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,1,"Like the one that powers Siri, Alexa, or Google Assistant?",Are you referring to the technology used in digital voice assistants?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,2,"Well, we've got something awesome lined up for you!In our hands-on workshop, we'll guide you through the ins and outs of creating a question-answering system.",What will participants learn in the hands-on workshop?
